name,sex
აიაზ,M
ზარიბეგ,M
ტერენტი,M
ჰასიმ,M
უოლტერ,M
ვაგნერ,M
იოვა,M
ოტო,M
ვაჰრამ,F
ელო,F
ჟოზეფ,M
კოსტა,M
ლეშეკ,M
სვიმონ,M
სეფე,M
კირილე,M
ლომერ,M
გულდა,M
ანდრუშა,F
აფრასიონ,M
ბუდუ,M
სოკრატ,M
ივლიტა,M
რიურიკ,M
გულბათ,M
თედორე,M
მიკოლა,M
სერაპიონ,M
რომანოზ,M
საველი,M
აბრამ,M
სლავა,M
კოლია,M
იუზეფ,M
გერასიმე,M
იუსუფ,M
გევლო,M
ეფრემ,M
აუსმა,F
ქრისტეფორე,M
კლიმენტი,M
ალბერ,M
გალუსტ,M
თებრო,F
ტიმოფეი,M
ოტია,M
შუშანა,M
ალისტრო,M
ჰეიდარ,M
საშიკო,M
ლიუბა,F
მინა,M
ბართლლომე,M
ნიკო(ნიკოლოზ),M
ჟორჟ,M
უსუფ,M
კაპიტონ,M
ტონია,F
საფო,M
იმედი,M
გუგული,M
დრონოვა,F
მიხო,M
ნიკოლაი,M
ჰენრიხ,M
პოლიევტოს,M
გვანჯი,M
მურზაყან,M
ტერეზინა,F
კნუტ,M
ახმედ,M
ვენედი,M
კონდრატე,M
ფეოდოსია,F
ხვთისავარ,M
იგნასიო,M
ჭაბუკა,M
ვილჰელმ,M
რაჰმათოლა,M
პიერ,M
პორფირე,M
არტურს,M
ინდერი,M
ნაზო,M
იორგი,M
იმედო,M
მანაბა,M
ჯონდი,M
მაშო,M
ამალია,F
სიკო,M
სუსანა,F
სილოვან,M
ავლიპი,M
იაგორ,M
ილიკო,M
მარუსა,F
პიროსი,M
ქეთო,M
იმამი,M
ერლომ,M
გური,M
ეგნატე,M
იეთიმ,M
ლუარსაბ,M
გოგოთურ,M
საიდა,F
კატუშა,M
ქაქუცა,M
მაქსიმე,M
მარჯორი,M
იოველ,M
ედუ,M
შერმაზან,M
ბაბალე,F
დესმან,M
ტიტიკო,M
მერცია,F
შენგელაია,F
ზიზი,F
ჭიჭიკო,M
კვასალა,M
კიტა,M
იასონ,M
თემიკო,M
ჰერტრუდა,F
ჰოვანეს,M
ინეზა,F
პაბლო,M
ტარას,M
ფრედერიკ,M
მუხამედ,M
იმერი,M
გორდის,M
აიდა,F
დადიანი,M
პიტ,M
შირინ,F
სტანისლაო,M
გულვაღა,M
ფორე,M
კატო,F
ლუბოვ,F
განა,F
ვარდენ,M
ფილომონ,M
ერმილე,M
მოშე,M
ქიონია,M
ვარვარა,F
ჰაინრიხ,M
შომა,M
დურსუნ,M
ტროფიმე,M
სამუელ,M
აფანასი,M
ლეჟენ,M
არზას,M
თაყა,M
დუგლას,M
ნასყიდ,M
გენა,M
თამი,F
ლუარა,F
ზაირაქ,F
ერმონია,M
ჰაიდარ,M
ჭოლა,M
დარუხან,F
სოლ,M
კარპე,M
პანტიკო,M
იობა,M
კირიონ,M
მელენტი,M
აბრექ,M
სუზანა,F
პელაგია,F
იუველიანე,M
თადეუშ,M
ბენია,M
როლან,M
მაჰომედ,M
მარო,F
მირონ,M
რაიმონ,M
მანონ,F
გერა,M
დათუნა,M
ჟანრი,M
გიგლო,M
გახა,M
ლეონტი,M
სიმელა,F
ფირანა,M
სევასტინე,M
ტაპა,M
გურჯან,F
ვილგერ,M
სარგის,M
არსენი,M
ლორენცო,M
დომინიკა,M
იუგენალ,M
ნადეჯდა,F
ოქროპირ,M
გასტონ,M
გელარი,M
კოსტია,M
პიტა,F
მოედინ,M
იულ,M
მაგომედ,M
ენრიკო,M
გიაა,M
ავალო,M
ცისკარი,F
ლუი,M
მეთოდე,M
ივსიხი,M
პაშა,F
ლუსი,M
სერაფიმე,M
არეთა,M
ლიუდმილა,F
თალიკო,M
ნოტიო,F
ვანიონ,M
მარუსია,F
ადელინა,F
ნიკანდრი,M
რეინ,M
სოლო,M
ბაბილინა,M
არტემ,M
ლაურ,M
ნასიმკა,F
სიო,M
ანთიმოზ,M
ონოფრე,M
ბაბო,F
კონდრატი,M
ნადინ,F
იორამ,M
ჯიბო,M
გურგენ,M
პეტიკა,M
ტამარა,F
ჯილდა,F
ვლასი,M
ხავიერ,M
საშა,M
რენე,M
ოსიპ,M
ორესტი,M
ვალენტინ,M
"ნ,",M
რეი,M
ლეონ,M
მელიტა,F
ჩეზარე,M
კოტე(კონსტანტინე),M
ზიბერტ,M
მაქსიმილიან,F
ფარსადან,M
ული,M
ელბრუს,M
ანდრე,M
არნო,M
ედმონდ,M
პორფილე,M
გლევი,M
ვარია,F
ათანასე,M
ჯემშიდ,M
გენრიეტა,F
ჯულიანა,F
სეზმან,M
ფაცია,F
იოაკიმე,M
სეით,M
ზაქარ,M
მედეია,F
მიგელ,M
სოსლან,M
ფაბიოლა,F
შერგილ,M
ძაკა,M
კოლაუ,M
ივიანე,M
აღალო,M
გოვენ,M
აივენგო,M
რევო,M
ფილიმონ,M
ლაური,M
მილიცა,M
ერმალოზ,M
ვილიამ,M
ძაძუ,F
არქიფო,M
პაოლა,F
ფაზილ,M
კოკო,M
ერლენ,M
კეკელა,F
მილუნკა,M
ხუსეინ,M
ონისიმე,M
ფერდინანდ,M
გერცელ,M
სოზრიკ,M
ალუ,M
ბენო,M
ნაზარ,M
სართავი,M
აქვსენტი,M
გალია,M
აბრაამ,M
ამირალ,M
ხსრიბეგ,M
არონ,M
არიელ,M
გოგლა,M
ბატირხან,M
სოლიკო,M
დამანა,F
გოგუცა,F
ბაბკენ,M
სერჟან,M
გროგოლ,M
ლიდია,F
ალიო,M
სილვა,F
მოლა,M
გერჰარტ,M
ამბროს,M
ვგენი,M
კლეოპატრა,F
დუშა,M
სელიმ-ფაშა,F
ლუდვიგ,M
ლუჩანო,M
ზია,M
შოტა,M
ქეთრინ,F
ცილია,F
მამანტი,M
თამუნია,F
შადიმან,M
იაკიმ,M
სურენ,M
ზალატისკა,M
ისააკ,M
დიდიმ,M
ისაკ,M
მარეხი,F
ბეგი,M
ზიგმუნდ,M
ლერა,F
